NetID,Email,Number,Birth,Gender,Fname,Mname,Lname
WS1154,WS1154ATnyu.edu,24256311,1997-12-25,M,RWJD,SQKX,TDQW
RJ9340,RJ9340ATnyu.edu,68166578,2001-5-13,M,PIQM,VXHJ,AXOQ
DD5834,DD5834ATnyu.edu,56298333,2004-4-8,F,LNVA,EKTT,JMOM
WP7001,WP7001ATnyu.edu,69227758,1995-9-6,M,PYOZ,OEZR,AZXT
YK3268,YK3268ATnyu.edu,46783018,2002-1-12,F,OKLC,DZWY,KUUG
EO3560,EO3560ATnyu.edu,10634913,1996-8-24,M,CNQI,JDWZ,YMMO
DY1087,DY1087ATnyu.edu,50849721,2002-11-25,F,GBUO,TLFJ,TTUS
RN2788,RN2788ATnyu.edu,54510264,1999-5-29,M,YHJE,AQUB,OUDO
NS7409,NS7409ATnyu.edu,75769468,1996-11-16,M,UZZI,DSGQ,FQXI
YO4801,YO4801ATnyu.edu,69490067,2004-3-17,F,BTJK,IHDB,VAKL
TC4242,TC4242ATnyu.edu,17840378,1996-7-18,F,IWID,LMDU,BPCE
SU6748,SU6748ATnyu.edu,80530221,1997-5-23,M,BLIV,OEIO,WBWQ
HB1567,HB1567ATnyu.edu,77501284,2001-3-6,F,VOTY,HWJG,KZYB
WP9350,WP9350ATnyu.edu,30879112,1995-6-12,F,DEVI,LFKT,ZUEI
DE7224,DE7224ATnyu.edu,2062521,2002-12-17,F,IZLQ,NRAU,SGYJ
CG8880,CG8880ATnyu.edu,11606897,1998-10-10,F,KLSA,PXYL,YRSA
QM5605,QM5605ATnyu.edu,77924546,2000-10-10,M,TVYD,LAVR,RZCE
XU6506,XU6506ATnyu.edu,35300398,1995-11-20,M,ZRAX,AJEI,CDHD
JH6998,JH6998ATnyu.edu,12882534,1998-1-6,F,VXUJ,HBBS,BQOJ
VQ2023,VQ2023ATnyu.edu,61099264,2002-11-14,M,UHJG,UEGL,IGAD
WI3949,WI3949ATnyu.edu,61219813,2002-9-18,M,MFAK,UFOK,WGHU
PL6951,PL6951ATnyu.edu,19867866,1999-3-16,F,RZKX,YHYF,FYBG
UE3996,UE3996ATnyu.edu,84906826,1997-1-5,M,PFUS,CPZY,MHLV
AN8435,AN8435ATnyu.edu,14411518,1997-11-21,F,KWIZ,RJEI,GDVU
LC5746,LC5746ATnyu.edu,81519692,2002-12-29,F,EAYP,UFJT,LLFW
TI6152,TI6152ATnyu.edu,53685602,2003-5-28,F,AHHA,RTNI,GYKM
PS406,PS406ATnyu.edu,43132490,2004-5-25,M,LKRS,XXNY,SRNS
NC7669,NC7669ATnyu.edu,92289631,1997-6-23,M,OFZC,MIMV,AYQG
AH5314,AH5314ATnyu.edu,88865209,1999-9-12,M,MAIT,ANUR,FJAF
CP7702,CP7702ATnyu.edu,37842797,1998-8-25,F,IRHT,OOWL,QFCW
BG2044,BG2044ATnyu.edu,41449945,1995-5-27,M,RFSR,LQKQ,HKHV
KC7630,KC7630ATnyu.edu,3646530,2002-6-27,F,HIEB,ZOVO,ULYK
HO4721,HO4721ATnyu.edu,54475378,1997-1-20,M,BIBM,RNHZ,QAPM
JL4759,JL4759ATnyu.edu,25511251,2000-10-28,F,XAKA,IMUS,VSYL
RH1611,RH1611ATnyu.edu,43536640,2001-7-21,F,ZVGT,RUMS,UYQK
UE1033,UE1033ATnyu.edu,29611282,2001-1-13,M,SRYZ,SZVQ,KENP
JO2943,JO2943ATnyu.edu,40630799,2002-4-30,M,BUTQ,WSPW,JXXQ
QR7088,QR7088ATnyu.edu,17889848,1997-4-30,M,WQJL,CORW,NGXG
MD9983,MD9983ATnyu.edu,32246527,2003-3-31,F,NTEC,NLXK,ZJQZ
MP3126,MP3126ATnyu.edu,30263849,1998-4-3,M,BAQQ,CCWA,OMTI
KS10000,KS10000ATnyu.edu,59319044,2000-1-6,F,OUBF,NYUX,MNCV
GJ6989,GJ6989ATnyu.edu,71703535,2000-9-9,M,MQBU,BSIV,ADRX
PL5127,PL5127ATnyu.edu,63936567,2000-7-19,F,MWAD,TFAD,NYFB
DX6037,DX6037ATnyu.edu,99207996,1999-8-16,M,WBZO,CDYX,GSJN
VY1174,VY1174ATnyu.edu,73620608,2004-1-7,M,UULS,CCLJ,EZEE
EP1885,EP1885ATnyu.edu,66473549,2002-5-21,F,TOKB,WTBD,MTPL
LR8076,LR8076ATnyu.edu,1685295,1999-11-18,M,ADFA,EJST,UKZC
DI6679,DI6679ATnyu.edu,54709126,2004-1-16,M,DRCQ,HCCY,QZZM
AQ5888,AQ5888ATnyu.edu,66594300,1997-11-27,M,JASW,UPTW,APCU
JP647,JP647ATnyu.edu,24863509,2002-10-24,M,QMBC,KTYB,IUDE
XU8643,XU8643ATnyu.edu,40413209,2002-9-25,M,BSPG,AQBD,EDBU
WU699,WU699ATnyu.edu,95079406,1999-6-15,F,AXPK,TQVU,MCSK
VP9661,VP9661ATnyu.edu,5524063,2001-9-25,F,HWGU,KTDJ,FHWX
SZ7778,SZ7778ATnyu.edu,69177546,1995-11-14,M,MHMD,FMDX,RGVA
WR4391,WR4391ATnyu.edu,79360521,1998-11-29,F,YHQB,RSQS,XMTY
NS3734,NS3734ATnyu.edu,7335677,2001-3-12,M,RLXU,OETA,ESQR
KR7480,KR7480ATnyu.edu,16724805,2002-4-29,F,KPEN,NTET,SCXK
BV117,BV117ATnyu.edu,83722530,1996-8-3,F,PTWH,OGBK,XXTB
TH4757,TH4757ATnyu.edu,5619444,2004-5-5,F,EXNA,LSPE,QKKC
AW1150,AW1150ATnyu.edu,41394257,2002-4-10,F,DBTK,HQSA,RCGC
OE9665,OE9665ATnyu.edu,69326150,1998-3-26,F,NEBJ,CKYV,VAJA
BJ489,BJ489ATnyu.edu,45794345,2002-8-7,M,QEVT,CQRA,IGTM
FD1225,FD1225ATnyu.edu,24697882,1998-10-23,F,WVGL,SUGP,XMRU
FD9844,FD9844ATnyu.edu,28629971,1995-11-4,F,TPFK,KWNY,EYZR
AI2797,AI2797ATnyu.edu,33623233,2004-2-5,F,IJKR,FAHZ,TGMR
DF5112,DF5112ATnyu.edu,58081816,1996-1-31,M,IALV,GPAO,AUET
OU7787,OU7787ATnyu.edu,32503253,2002-11-4,M,VQZY,WWAR,ABGH
TV3931,TV3931ATnyu.edu,94593619,2001-5-21,F,HCYG,RWFU,YHNZ
VQ130,VQ130ATnyu.edu,12681578,1999-8-15,M,FTSK,VNKV,GQYJ
JY4894,JY4894ATnyu.edu,59318135,1996-1-5,M,ZMGF,LWXA,CWKH
YG2808,YG2808ATnyu.edu,89164338,2003-11-26,F,BJEH,HYPA,ZHGB
AV5125,AV5125ATnyu.edu,80862349,2001-1-25,M,ABDB,PHUI,UOSM
BA4106,BA4106ATnyu.edu,47766344,1999-9-26,F,MDYF,UZBC,RJPR
KN4311,KN4311ATnyu.edu,72008639,2002-12-23,M,AJOA,SDAU,RTYM
KZ5524,KZ5524ATnyu.edu,20310253,2003-11-21,M,JYIN,FGHC,LHIG
HQ8423,HQ8423ATnyu.edu,67463705,1995-10-24,F,SAAW,KAAF,FPZY
FB7453,FB7453ATnyu.edu,76633435,1997-11-18,M,TZXH,IZTO,ESZL
JE5618,JE5618ATnyu.edu,60879929,2003-4-3,F,NSXB,BZPY,POBR
UH1241,UH1241ATnyu.edu,2515540,2004-4-21,M,VCCO,MDBR,TWPX
ZC403,ZC403ATnyu.edu,37985296,2000-1-11,M,PHKI,BILO,TCRC
IG3091,IG3091ATnyu.edu,14674863,2001-3-15,F,FKAI,YSIJ,DMQR
LJ7058,LJ7058ATnyu.edu,56065156,2002-12-11,M,QHPK,QGMP,ORPI
MU7788,MU7788ATnyu.edu,69846601,1998-6-24,M,HGBW,HJIV,QFTW
EJ7790,EJ7790ATnyu.edu,99062979,2004-8-16,F,CTQQ,DUQG,KSPO
LL5238,LL5238ATnyu.edu,59196889,1996-5-12,F,PWDI,GFTM,QHRN
QH683,QH683ATnyu.edu,13916392,1999-8-30,M,STXK,YYYH,KGVL
JN2086,JN2086ATnyu.edu,64074171,2003-3-10,F,AWOP,LWPN,AJBT
QE8485,QE8485ATnyu.edu,18397983,2004-5-11,F,APKB,CWTO,AHZC
